ID,Number,From,To,WaitToBoard,TotalTime
0,3,5,4,38,52
1,6,5,2,38,76
9,4,3,0,45,77
3,4,0,1,91,104
8,2,0,2,82,107
7,3,2,4,109,128
4,1,0,4,88,133
2,1,0,4,95,140
6,4,4,5,130,143
5,1,4,5,134,147
14,6,4,5,2,15
12,1,4,5,5,18
10,1,4,5,10,23
11,3,5,0,24,64
13,4,0,5,61,101
16,5,3,1,17,37
15,3,1,5,39,72
22,3,2,0,19,38
17,2,4,0,10,48
24,6,0,1,37,53
21,4,1,2,62,74
23,2,0,2,40,70
19,6,0,3,47,91
18,3,2,4,82,107
25,1,0,4,34,91
20,4,0,5,44,113
26,3,1,3,31,51
30,6,3,5,42,62
29,4,1,5,23,64
28,6,0,1,110,124
27,6,0,2,110,137
32,3,4,5,13,26
31,2,4,5,17,30
36,1,5,1,22,68
34,6,3,0,46,84
41,2,5,0,12,71
37,5,5,0,21,80
35,4,5,0,23,82
33,6,2,5,111,138
40,3,0,5,80,126
38,5,1,0,168,181
39,4,2,0,154,179
44,5,4,5,43,56
45,3,0,5,9,55
42,4,5,2,62,89
43,3,5,0,61,107
47,4,0,1,3,15
46,2,1,4,16,42
48,2,4,5,41,53
49,3,1,0,86,98
50,1,0,5,97,137
51,6,0,1,38,52
53,5,3,4,70,83
56,2,1,4,41,73
57,5,0,4,23,71
54,2,4,5,82,94
52,5,3,0,118,150
66,2,2,5,3,29
58,6,0,5,3,49
60,4,5,1,44,88
65,5,1,0,79,92
61,4,2,0,74,100
64,4,4,0,50,95
62,2,5,0,42,100
59,1,5,0,48,106
63,5,0,5,103,144
70,3,0,1,33,47
68,5,0,3,38,76
69,2,2,4,63,88
74,2,2,5,50,87
67,3,0,5,38,101
75,5,5,4,86,99
76,4,3,2,108,121
71,2,3,1,120,145
72,2,5,1,94,145
80,3,0,1,3,18
78,1,0,3,7,41
79,5,0,5,7,60
77,4,0,5,10,63
81,5,3,1,73,93
82,4,0,3,10,36
85,3,3,1,72,92
83,1,5,1,53,97
87,5,1,0,88,101
86,2,3,0,70,104
84,4,4,0,61,107
91,4,0,1,2,16
88,3,0,1,3,17
90,2,0,3,2,42
89,6,2,4,30,55
92,2,3,0,65,91
93,4,2,5,17,43
95,3,5,4,36,48
96,5,0,1,81,97
97,6,0,3,81,117
94,6,0,3,85,121
100,5,0,1,138,152
99,1,0,1,142,156
98,6,0,4,145,186
101,2,0,1,31,43
102,1,0,2,30,54
103,2,5,0,78,118
104,4,0,1,3,16
105,2,0,3,2,34
110,3,4,5,37,49
111,6,3,5,23,48
108,6,5,1,58,92
109,4,0,1,103,117
106,3,0,2,106,132
107,5,0,4,105,150
116,4,0,1,21,36
113,3,0,3,28,62
115,4,0,4,25,73
