ID,Number,From,To,WaitToBoard,TotalTime
114,5,3,5,63,88
112,4,0,5,31,91
117,6,4,5,10,23
126,1,1,0,46,58
122,3,1,0,53,65
121,4,2,0,43,67
119,2,0,1,74,89
123,3,1,2,83,95
124,1,0,2,64,92
118,5,0,3,74,114
120,6,0,4,70,124
125,4,3,5,104,129
127,2,0,5,60,127
134,4,0,1,28,44
131,4,0,1,31,47
132,3,0,3,30,66
136,4,3,5,61,80
135,6,0,5,28,84
128,1,0,5,38,94
129,2,5,1,95,128
130,2,5,0,93,138
138,5,0,5,124,165
137,3,0,5,128,169
143,3,5,4,2,17
147,6,1,0,36,49
140,1,2,0,44,69
142,5,5,0,6,65
141,6,5,0,6,65
145,6,1,4,73,110
144,2,2,5,90,127
146,1,5,0,120,160
148,4,3,5,24,43
149,3,5,4,44,56
152,3,0,1,84,98
153,2,1,2,95,108
155,5,0,2,75,103
151,4,0,4,85,133
150,6,1,5,101,146
160,2,3,4,15,27
156,3,1,4,2,33
154,5,1,4,170,205
159,2,0,1,64,77
157,4,0,2,65,92
158,6,1,5,79,118
167,3,0,1,29,45
164,2,0,1,35,51
165,3,0,2,34,63
166,6,0,3,30,71
161,2,0,4,38,92
163,3,0,5,35,101
168,1,5,4,95,107
162,4,1,0,141,153
170,6,0,2,142,162
169,2,0,3,142,175
172,5,4,0,22,56
171,3,1,5,69,102
173,5,0,2,38,64
174,2,0,3,34,73
181,2,0,4,24,75
176,4,1,5,45,94
180,6,3,2,112,125
175,2,1,0,144,156
179,6,5,0,94,153
177,5,5,0,94,153
186,2,1,0,64,76
184,4,5,0,33,79
182,1,5,0,38,84
185,3,0,1,79,93
183,4,0,2,82,110
188,6,1,3,93,118
189,3,0,3,78,118
187,2,4,5,132,144
194,2,2,1,15,28
193,6,1,0,30,43
190,3,2,0,24,51
199,1,0,1,33,48
197,5,0,1,38,53
191,5,0,1,52,67
196,4,0,2,39,70
198,6,1,4,54,86
195,3,4,5,93,105
192,1,4,2,124,143
200,2,3,5,10,29
203,1,0,1,61,75
204,4,0,2,58,85
201,5,0,2,66,93
206,1,0,4,56,109
205,2,3,5,97,121
202,3,1,5,78,128
207,1,5,4,3,15
208,2,5,0,23,63
211,4,2,0,61,80
210,2,5,0,38,84
209,4,5,0,38,84
212,2,3,5,108,127
214,3,0,1,37,51
216,6,1,2,50,63
222,2,1,3,42,68
215,1,0,4,35,88
217,1,0,5,34,99
213,4,0,5,38,103
219,3,1,0,138,151
218,5,1,0,138,151
220,3,4,0,110,149
221,3,5,0,95,146
223,1,0,3,3,29
224,1,4,5,37,49
228,4,5,0,42,82
226,3,0,1,87,101
225,1,0,3,89,122
227,5,0,4,86,131
234,4,1,0,35,47
232,3,5,0,6,52
230,3,5,0,10,56
233,2,0,1,53,67
231,3,0,2,57,83
229,4,0,5,59,111
236,3,2,0,24,43
235,1,0,2,44,63
240,4,1,0,11,23
237,5,2,0,3,28
244,4,0,3,13,45
239,6,3,4,60,73
242,1,2,5,41,80
241,3,0,5,25,84
238,1,4,2,99,118
243,3,2,0,108,127
246,2,5,2,36,75
250,1,3,1,58,84
251,1,4,1,43,81
253,5,5,1,22,75
248,5,2,0,75,101
249,2,5,0,31,97
245,5,5,0,38,104
252,4,0,1,94,106
247,5,2,4,129,149
254,3,4,5,134,146
255,5,1,5,31,65
257,4,1,0,95,107
256,2,0,1,109,122
258,3,0,2,106,131
260,4,4,5,36,48
259,2,1,5,10,48
262,2,4,2,57,76
261,3,0,2,97,117
263,5,0,5,94,140
265,4,0,1,38,51
264,4,0,5,38,84
269,2,0,1,32,48
273,3,0,4,20,62
272,2,0,4,24,66
271,5,0,4,25,67
270,1,0,4,29,71
267,2,0,5,38,94
266,2,0,5,38,94
268,1,2,1,121,133
275,6,2,0,10,30
276,1,0,1,30,42
277,3,4,1,66,92
279,5,3,0,13,40
278,3,3,0,17,44
280,4,0,5,42,82
284,1,4,0,88,121
282,3,4,0,90,123
283,2,5,0,76,121
285,1,4,5,31,43
287,2,1,0,79,91
290,5,2,0,60,85
293,3,5,0,25,76
288,2,0,2,90,116
291,3,3,4,126,138
289,6,2,4,115,140
292,6,1,5,94,148
286,3,1,5,106,160
297,3,0,1,35,51
296,5,0,1,36,52
298,4,0,4,35,78
294,6,0,4,38,81
299,2,5,1,91,129
295,4,4,0,105,143
300,5,0,1,139,152
303,2,0,1,8,24
301,5,0,1,10,26
307,6,0,2,2,32
308,4,0,4,0,50
304,4,1,5,23,67
306,3,0,5,2,64
305,5,2,1,93,106
302,3,2,1,97,110
309,2,3,4,17,29
311,6,4,1,25,52
310,3,0,5,69,109
317,5,4,5,18,31
313,4,3,5,14,41
312,5,3,5,17,44
318,4,5,2,35,63
319,1,5,1,31,73
322,4,2,0,54,79
320,3,2,0,60,85
316,5,5,0,35,89
314,4,0,4,99,138
321,2,3,5,111,135
315,4,0,5,96,147
325,2,1,0,34,46
323,6,5,0,3,49
326,2,0,1,46,59
324,2,3,4,80,92
327,6,0,4,43,87
328,5,5,2,97,124
329,1,2,5,3,29
332,2,1,0,57,69
331,4,5,0,25,70
330,2,1,2,85,97
342,6,1,0,0,13
338,2,1,0,6,19
333,2,2,0,3,28
340,1,0,1,19,33
335,1,0,1,27,41
341,2,0,3,17,51
334,4,0,3,28,62
337,6,3,5,58,78
343,4,1,5,27,68
339,3,0,5,21,77
336,5,2,0,108,128
345,2,1,0,10,22
350,3,0,1,10,25
348,2,0,1,16,31
346,2,0,1,21,36
344,5,2,3,52,65
351,4,1,3,26,51
349,6,0,5,12,75
347,6,2,4,109,129
354,1,3,2,14,26
361,3,2,1,5,17
352,4,4,0,3,52
357,2,0,2,42,62
355,3,2,3,70,82
356,4,0,3,46,79
360,1,3,4,66,78
353,1,2,5,73,111
358,4,5,4,98,110
359,2,3,0,118,144
362,3,0,1,3,15
363,2,5,2,47,73
364,5,0,1,17,32
372,4,2,3,32,44
370,4,0,3,6,46
371,1,3,4,47,59
369,5,0,4,7,61
368,2,0,4,7,61
367,6,5,2,78,107
365,5,5,1,84,126
366,4,5,0,80,135
373,6,1,2,10,23
375,2,1,5,2,42
380,2,3,0,54,80
374,2,5,0,47,92
377,5,0,1,83,99
376,2,0,3,85,121
379,6,0,5,82,137
378,5,0,5,83,138
392,3,0,1,7,22
387,2,1,2,28,40
386,2,1,2,30,42
382,5,0,2,26,54
381,5,0,3,177,219
389,3,4,5,67,79
390,1,5,4,80,92
383,3,4,2,105,131
388,5,3,0,105,138
385,5,3,0,111,144
391,3,5,0,77,135
394,4,0,1,3,15
400,5,4,5,30,44
397,1,4,5,40,54
396,5,4,5,40,54
393,4,1,5,16,56
395,3,1,0,102,114
399,4,2,0,82,106
398,5,4,0,66,110
402,2,4,5,33,45
401,3,0,5,3,48
408,5,5,4,33,46
403,4,4,2,58,77
404,3,1,0,87,99
409,1,0,3,91,121
406,4,0,4,97,139
411,2,0,5,87,141
410,5,0,5,91,145
407,2,0,5,95,149
405,6,0,5,99,153
419,1,3,1,0,19
412,3,3,0,17,48
418,1,0,1,34,49
414,4,0,1,42,57
420,5,0,2,30,58
415,4,2,3,69,81
416,6,0,5,37,103
413,5,5,4,113,126
417,4,4,0,118,151
422,3,4,5,31,43
426,3,1,0,71,83
424,6,4,0,47,86
423,2,1,4,104,130
425,1,1,5,98,136
427,4,0,1,38,51
429,1,0,2,32,58
428,1,1,5,49,87
431,3,1,0,115,127
430,4,5,0,85,130
439,4,5,4,27,42
432,6,5,1,38,79
434,3,5,0,34,88
441,2,0,1,77,92
437,4,0,3,84,120
433,3,3,4,129,141
438,5,1,4,99,132
436,2,1,4,102,135
440,5,0,5,78,141
435,3,0,5,89,152
445,4,0,1,28,42
444,2,1,3,47,66
446,2,3,4,59,71
443,4,0,4,34,81
442,2,0,5,38,98
447,6,4,5,10,23
451,5,0,1,56,70
449,4,2,3,88,100
450,1,1,3,75,99
448,5,0,4,61,114
456,3,0,2,24,50
452,1,0,3,31,69
457,2,0,4,24,74
453,4,1,5,42,90
458,5,0,5,21,83
454,2,1,0,131,143
455,6,2,0,114,139
460,3,0,4,3,36
459,3,1,0,62,74
461,4,0,1,3,17
464,3,0,2,0,27
463,4,0,3,1,41
469,2,3,5,30,49
466,6,1,5,11,56
465,1,1,5,11,56
470,2,2,1,73,85
468,2,1,0,90,103
462,3,1,0,104,117
467,2,0,2,108,127
474,2,0,1,12,25
471,3,0,2,17,43
475,3,1,3,26,50
472,4,1,0,103,115
473,1,5,0,70,115
478,2,0,1,1,14
477,3,0,1,1,14
476,1,0,5,3,50
479,6,0,2,38,58
480,1,2,5,60,86
481,2,2,1,24,36
488,6,1,0,15,29
487,6,1,0,19,33
483,4,0,2,49,69
482,3,0,4,50,94
485,4,3,5,74,98
484,2,3,1,120,139
491,2,5,4,30,43
489,4,5,4,31,44
495,2,1,0,61,73
493,2,5,0,26,78
497,3,0,1,74,90
490,4,0,1,83,99
492,4,0,3,81,117
496,2,0,4,74,122
494,4,0,5,76,136
502,5,3,4,15,28
498,4,0,5,173,225
501,5,1,0,88,101
500,3,1,0,88,101
499,1,2,0,77,102
504,4,3,0,54,91
503,4,1,4,109,135
55,2,2,0,100,-1
73,1,3,0,75,-1
133,4,5,0,75,-1
139,3,3,4,75,-1
178,3,5,0,75,-1
274,6,4,0,75,-1
281,3,5,4,75,-1
384,1,5,4,75,-1
421,3,4,5,75,-1
486,2,3,0,75,-1
